Name,Alternating,Unknotting Number
3_1,Y,1
4_1,Y,1
5_1,Y,2
5_2,Y,1
6_1,Y,1
6_2,Y,1
6_3,Y,1
7_1,Y,3
7_2,Y,1
7_3,Y,2
7_4,Y,2
7_5,Y,2
7_6,Y,1
7_7,Y,1
8_1,Y,1
8_2,Y,2
8_3,Y,2
8_4,Y,2
8_5,Y,2
8_6,Y,2
8_7,Y,1
8_8,Y,2
8_9,Y,1
8_10,Y,2
8_11,Y,1
8_12,Y,2
8_13,Y,1
8_14,Y,1
8_15,Y,2
8_16,Y,2
8_17,Y,1
8_18,Y,2
8_19,N,3
8_20,N,1
8_21,N,1
9_1,Y,4
9_2,Y,1
9_3,Y,3
9_4,Y,2
9_5,Y,2
9_6,Y,3
9_7,Y,2
9_8,Y,2
9_9,Y,3
9_10,Y,3
9_11,Y,2
9_12,Y,1
9_13,Y,3
9_14,Y,1
9_15,Y,2
9_16,Y,3
9_17,Y,2
9_18,Y,2
9_19,Y,1
9_20,Y,2
9_21,Y,1
9_22,Y,1
9_23,Y,2
9_24,Y,1
9_25,Y,2
9_26,Y,1
9_27,Y,1
9_28,Y,1
9_29,Y,2
9_30,Y,1
9_31,Y,2
9_32,Y,2
9_33,Y,1
9_34,Y,1
9_35,Y,3
9_36,Y,2
9_37,Y,2
9_38,Y,3
9_39,Y,1
9_40,Y,2
9_41,Y,2
9_42,N,1
9_43,N,2
9_44,N,1
9_45,N,1
9_46,N,2
9_47,N,2
9_48,N,2
9_49,N,3
10_1,Y,1
10_2,Y,3
10_3,Y,2
10_4,Y,2
10_5,Y,2
10_6,Y,[2;3]
10_7,Y,1
10_8,Y,2
10_9,Y,1
10_10,Y,1
10_11,Y,[2;3]
10_12,Y,2
10_13,Y,2
10_14,Y,2
10_15,Y,2
10_16,Y,2
10_17,Y,1
10_18,Y,1
10_19,Y,2
10_20,Y,2
10_21,Y,2
10_22,Y,2
10_23,Y,1
10_24,Y,2
10_25,Y,2
10_26,Y,1
10_27,Y,1
10_28,Y,2
10_29,Y,2
10_30,Y,1
10_31,Y,1
10_32,Y,1
10_33,Y,1
10_34,Y,2
10_35,Y,2
10_36,Y,2
10_37,Y,2
10_38,Y,2
10_39,Y,2
10_40,Y,2
10_41,Y,2
10_42,Y,1
10_43,Y,2
10_44,Y,1
10_45,Y,2
10_46,Y,3
10_47,Y,[2;3]
10_48,Y,2
10_49,Y,3
10_50,Y,2
10_51,Y,[2;3]
10_52,Y,2
10_53,Y,3
10_54,Y,[2;3]
10_55,Y,2
10_56,Y,2
10_57,Y,2
10_58,Y,2
10_59,Y,1
10_60,Y,1
10_61,Y,[2;3]
10_62,Y,2
10_63,Y,2
10_64,Y,2
10_65,Y,2
10_66,Y,3
10_67,Y,2
10_68,Y,2
10_69,Y,2
10_70,Y,2
10_71,Y,1
10_72,Y,2
10_73,Y,1
10_74,Y,2
10_75,Y,2
10_76,Y,[2;3]
10_77,Y,[2;3]
10_78,Y,2
10_79,Y,[2;3]
10_80,Y,3
10_81,Y,2
10_82,Y,1
10_83,Y,2
10_84,Y,1
10_85,Y,2
10_86,Y,2
10_87,Y,2
10_88,Y,1
10_89,Y,2
10_90,Y,2
10_91,Y,1
10_92,Y,2
10_93,Y,2
10_94,Y,2
10_95,Y,1
10_96,Y,2
10_97,Y,2
10_98,Y,2
10_99,Y,2
10_100,Y,[2;3]
10_101,Y,3
10_102,Y,1
10_103,Y,3
10_104,Y,1
10_105,Y,2
10_106,Y,2
10_107,Y,1
10_108,Y,2
10_109,Y,2
10_110,Y,2
10_111,Y,2
10_112,Y,2
10_113,Y,1
10_114,Y,1
10_115,Y,2
10_116,Y,2
10_117,Y,2
10_118,Y,1
10_119,Y,1
10_120,Y,3
10_121,Y,2
10_122,Y,2
10_123,Y,2
