Name,Unknotting Number
3_1,1
4_1,1
5_1,2
5_2,1
6_1,1
6_2,1
6_3,1
7_1,3
7_2,1
7_3,2
7_4,2
7_5,2
7_6,1
7_7,1
8_1,1
8_2,2
8_3,2
8_4,2
8_5,2
8_6,2
8_7,1
8_8,2
8_9,1
8_10,2
8_11,1
8_12,2
8_13,1
8_14,1
8_15,2
8_16,2
8_17,1
8_18,2
8_19,3
8_20,1
8_21,1
9_1,4
9_2,1
9_3,3
9_4,2
9_5,2
9_6,3
9_7,2
9_8,2
9_9,3
9_10,3
9_11,2
9_12,1
9_13,3
9_14,1
9_15,2
9_16,3
9_17,2
9_18,2
9_19,1
9_20,2
9_21,1
9_22,1
9_23,2
9_24,1
9_25,2
9_26,1
9_27,1
9_28,1
9_29,2
9_30,1
9_31,2
9_32,2
9_33,1
9_34,1
9_35,3
9_36,2
9_37,2
9_38,3
9_39,1
9_40,2
9_41,2
9_42,1
9_43,2
9_44,1
9_45,1
9_46,2
9_47,2
9_48,2
9_49,3
10_1,1
10_2,3
10_3,2
10_4,2
10_5,2
10_6,[2;3]
10_7,1
10_8,2
10_9,1
10_10,1
10_11,[2;3]
10_12,2
10_13,2
10_14,2
10_15,2
10_16,2
10_17,1
10_18,1
10_19,2
10_20,2
10_21,2
10_22,2
10_23,1
10_24,2
10_25,2
10_26,1
10_27,1
10_28,2
10_29,2
10_30,1
10_31,1
10_32,1
10_33,1
10_34,2
10_35,2
10_36,2
10_37,2
10_38,2
10_39,2
10_40,2
10_41,2
10_42,1
10_43,2
10_44,1
10_45,2
10_46,3
10_47,[2;3]
10_48,2
10_49,3
10_50,2
10_51,[2;3]
10_52,2
10_53,3
10_54,[2;3]
10_55,2
10_56,2
10_57,2
10_58,2
10_59,1
10_60,1
10_61,[2;3]
10_62,2
10_63,2
10_64,2
10_65,2
10_66,3
10_67,2
10_68,2
10_69,2
10_70,2
10_71,1
10_72,2
10_73,1
10_74,2
10_75,2
10_76,[2;3]
10_77,[2;3]
10_78,2
10_79,[2;3]
10_80,3
10_81,2
10_82,1
10_83,2
10_84,1
10_85,2
10_86,2
10_87,2
10_88,1
10_89,2
10_90,2
10_91,1
10_92,2
10_93,2
10_94,2
10_95,1
10_96,2
10_97,2
10_98,2
10_99,2
10_100,[2;3]
10_101,3
10_102,1
10_103,3
10_104,1
10_105,2
10_106,2
10_107,1
10_108,2
10_109,2
10_110,2
10_111,2
10_112,2
10_113,1
10_114,1
10_115,2
10_116,2
10_117,2
10_118,1
10_119,1
10_120,3
10_121,2
10_122,2
10_123,2
10_124,4
10_125,2
10_126,2
10_127,2
10_128,3
10_129,1
10_130,2
10_131,1
10_132,1
10_133,1
10_134,3
10_135,2
10_136,1
10_137,1
10_138,2
10_139,4
10_140,2
10_141,1
10_142,3
10_143,1
10_144,2
10_145,2
10_146,1
10_147,1
10_148,2
10_149,2
10_150,2
10_151,2
10_152,4
10_153,2
10_154,3
10_155,2
10_156,1
10_157,2
10_158,2
10_159,1
10_160,2
10_161,3
10_162,2
10_163,2
10_164,1
10_165,2
11a_1,2
11a_2,2
11a_3,2
11a_4,2
11a_5,2
11a_6,2
11a_7,2
11a_8,1
11a_9,2
11a_10,1
11a_11,1
11a_12,1
11a_13,2
11a_14,[2;3]
11a_15,2
11a_16,2
11a_17,2
11a_18,[2;3]
11a_19,2
11a_20,[2;3]
11a_21,2
11a_22,2
11a_23,2
11a_24,2
11a_25,2
11a_26,2
11a_27,2
11a_28,2
11a_29,2
11a_30,2
11a_31,2
11a_32,2
11a_33,2
11a_34,1
11a_35,1
11a_36,2
11a_37,2
11a_38,2
11a_39,2
11a_40,2
11a_41,1
11a_42,2
11a_43,3
11a_44,2
11a_45,[2;3]
11a_46,2
11a_47,2
11a_48,2
11a_49,[2;3]
11a_50,2
11a_51,2
11a_52,2
11a_53,[2;3]
11a_54,2
11a_55,2
11a_56,1
11a_57,2
11a_58,2
11a_59,2
11a_60,[2;3]
11a_61,2
11a_62,3
11a_63,[2;3]
11a_64,[2;3]
11a_65,2
11a_66,2
11a_67,2
11a_68,2
11a_69,1
11a_70,1
11a_71,1
11a_72,2
11a_73,1
11a_74,2
11a_75,2
11a_76,2
11a_77,1
11a_78,1
11a_79,2
11a_80,1
11a_81,2
11a_82,1
11a_83,[2;3]
11a_84,2
11a_85,2
11a_86,1
11a_87,2
11a_88,1
11a_89,2
11a_90,2
11a_91,1
11a_92,2
11a_93,2
11a_94,3
11a_95,2
11a_96,1
11a_97,2
11a_98,1
11a_99,2
11a_100,2
11a_101,1
11a_102,2
11a_103,2
11a_104,1
11a_105,[2;3]
11a_106,1
11a_107,2
11a_108,2
11a_109,2
11a_110,2
11a_111,2
11a_112,2
11a_113,2
11a_114,1
11a_115,2
11a_116,2
11a_117,2
11a_118,2
11a_119,2
11a_120,2
11a_121,1
11a_122,1
11a_123,3
11a_124,3
11a_125,2
11a_126,[2;3]
11a_127,2
11a_128,2
11a_129,2
11a_130,2
11a_131,2
11a_132,2
11a_133,2
11a_134,2
11a_135,2
11a_136,1
11a_137,[2;3]
11a_138,1
11a_139,1
11a_140,2
11a_141,2
11a_142,3
11a_143,2
11a_144,[2;3]
11a_145,2
11a_146,1
11a_147,2
11a_148,2
11a_149,1
11a_150,2
11a_151,2
11a_152,2
11a_153,2
11a_154,2
11a_155,2
11a_156,2
11a_157,2
11a_158,2
11a_159,2
11a_160,1
11a_161,[2;3]
11a_162,2
11a_163,2
11a_164,2
11a_165,2
11a_166,2
11a_167,1
11a_168,1
11a_169,2
11a_170,2
11a_171,2
11a_172,2
11a_173,2
11a_174,2
